Common.Name,Scientific.Name,Action,Assigned.Name.for.Atlas
Slaty-legged Crake,Rallina eurizonoides,,Slaty-legged Crake
Jungle Nightjar,Caprimulgus indicus,,
flameback sp.,Dinopium sp.,,
Broad-tailed Grassbird,Schoenicola platyurus,,Broad-tailed Grassbird
Black-and-orange Flycatcher,Ficedula nigrorufa,,Black-and-orange Flycatcher
Palani Laughingthrush,Montecincla fairbanki,,Palani Laughingthrush
Painted Bush-Quail,Perdicula erythrorhyncha,Reassign,Painted Bush-Quail
Legge's Hawk-Eagle,Nisaetus kelaarti,,Legge's Hawk-Eagle
Sri Lanka Bay-Owl,Phodilus assimilis,Remove,
Large Gray Babbler,Turdoides malcolmi,,Large Grey Babbler
Pycnonotidae sp.,Pycnonotidae sp.,,
Oriental Scops-Owl,Otus sunia,,
Blyth's Pipit,Anthus godlewskii,Remove,Blyth's Pipit
Blue Rock-Thrush,Monticola solitarius,Remove,Blue Rock-Thrush
Greater Spotted Eagle,Clanga clanga,,Greater Spotted Eagle
Tree Pipit,Anthus trivialis,Remove,Tree Pipit
Tytler's Leaf Warbler,Phylloscopus tytleri,,Tytler's Leaf Warbler
Indian Spotted Eagle,Clanga hastata,,Indian Spotted Eagle
passerine sp.,Passeriformes sp.,,
waterfowl sp.,Anatidae sp.,,
Slender-billed Gull,Chroicocephalus genei,Remove,Slender-billed Gull
Taiga Flycatcher,Ficedula albicilla,Remove,Taiga Flycatcher
Olive-backed Pipit,Anthus hodgsoni,,Olive-backed Pipit
Banasura Laughingthrush,Montecincla jerdoni,Merge,Banasura Laughingthrush
Large Hawk-Cuckoo,Hierococcyx sparverioides,,Large Hawk-Cuckoo
Nilgiri Thrush,Zoothera neilgherriensis,,Nilgiri Thrush
White-bellied Sholakili,Sholicola albiventris,,White-bellied Sholakili
Lesser Kestrel,Falco naumanni,,Lesser Kestrel
Pallid/Montagu's Harrier,Circus macrourus/pygargus,Remove,
Nilgiri Pipit,Anthus nilghiriensis,,Nilgiri Pipit
Eurasian Wryneck,Jynx torquilla,,Eurasian Wryneck
rock-thrush sp.,Monticola sp.,Remove,
Jerdon's/Golden-fronted Leafbird,Chloropsis jerdoni/aurifrons,Remove,
Jerdon's Baza,Aviceda jerdoni,,Jerdon's Baza
laughingthrush sp.,Garrulax/Ianthocincla/Trochalopteron/Montecincla sp.,Remove,
fantail sp.,Rhipidura sp.,Remove,
old world warbler sp.,Passeriformes sp. (Old World warbler sp.),Remove,
Black-backed Dwarf-Kingfisher,Ceyx erithaca,,Black-backed Dwarf-Kingfisher
Yellow-eyed Babbler,Chrysomma sinense,,Yellow-eyed Babbler
Lesser Whitethroat,Sylvia curruca,,Lesser Whitethroat
Painted Spurfowl,Galloperdix lunulata,,Painted Spurfowl
Sirkeer Malkoha,Taccocua leschenaultii,,Sirkeer Malkoha
Long-billed Pipit,Anthus similis,,Long-billed Pipit
Pale-billed/Nilgiri Flowerpecker,Dicaeum erythrorhynchos/concolor,Remove,
Yellow-throated Bulbul,Pycnonotus xantholaemus,,Yellow-throated Bulbul
Ashambu Laughingthrush,Montecincla meridionalis,,Ashambu Laughingthrush
Lesser Adjutant,Leptoptilos javanicus,,Lesser Adjutant
cuckoo sp. (Cuculidae sp.),Cuculidae sp.,Remove,
Great Thick-knee,Esacus recurvirostris,,Great Thick-knee
